50		2568	2669	1801.82		2696	0.00287955		2821	0.000174455		2795	0.000194589		2872	2.6e-05		
100		5061	5233	1800.6		5225	0.00610232		5560	0.000723648		5456	0.000789238		5570	5.2082e-05		
150		7523	8140	1800.81		7947	0.00422371		8211	0.00164496		8109	0.00181914		8432	9.7659e-05		
200		10039	10637	1801.38		10541	0.00580796		10823	0.00296563		10869	0.00324334		11160	0.000140339		
250		12616	13299	1802.13		13057	0.00858478		13483	0.00464274		13483	0.00555613		13916	0.000218818		
300		15068	16605	1804.29		15861	0.00866229		16310	0.00669431		16352	0.00731286		16905	0.00025373		
350		17749	18456	1807.79		18281	0.0171162		18876	0.00913832		18880	0.0108942		19667	0.000365279		
400		20032	21406	1805.66		20905	0.0224271		21568	0.0120424		21565	0.014165		22337	0.000366234		
450		22570	26035	1807.18		23337	0.0216385		24133	0.0151858		24086	0.0163573		24864	0.000506858		
500		24943	28993	1809.07		25990	0.0274701		26698	0.0187252		26700	0.0220115		27764	0.000565005		
550		27910	32080	1811.24		28811	0.0191111		29426	0.022685		29420	0.0266106		30728	0.000686667		
600		29854	34724	1813.61		31182	0.0237434		31987	0.0270081		31996	0.0316325		33236	0.000912575		
650		32163	37658	1816.72		33458	0.0515405		34413	0.0314259		34596	0.0341766		35771	0.00105102		
700		34780	40425	1819.46		36418	0.024193		37277	0.0366505		37279	0.0431365		38590	0.00104113		
750		37371	43476	1822.73		39093	0.0304171		40134	0.0420286		40095	0.0452552		41431	0.00122289		
800		39694.7	46076	1825.49		41359	0.0381721		42460	0.0479498		42486	0.0563407		44191	0.00147206		
850		42112	49274	1828.96		44158	0.0346704		44972	0.0540706		45263	0.0581784		46499	0.00165391		
900		44800.2	52144	1833.18		46743	0.0336594		47687	0.060625		47973	0.0652294		49751	0.00171218		
950		47766	55449	1837.37		49716	0.0400797		50734	0.0675547		50746	0.0794886		52850	0.00183359		
1000		49758.2	58006	1842.9		51925	0.0473379		53078	0.0748751		53253	0.0805229		55366	0.00201165		
1050		51997	60627	1847.34		54313	0.0481773		55629	0.0824198		55629	0.0973125		57987	0.00254784		
1100		54718	63823	1850.67		56975	0.0593411		58266	0.0910492		58253	0.107315		60613	0.00296433		
1150		57577	66796	1878.26		59897	0.0578374		61235	0.105477		61430	0.10808		63601	0.00288824		
1200		22839	69107	1865.84		62079	0.0533008		63459	0.108458		63463	0.12773		65833	0.0034265		
1250		26269	72166	1869.46		64820	0.0533917		66305	0.119134		66305	0.141406		69038	0.00332932		
1300		28616	75197	1986.54		67483	0.0630992		69285	0.127129		69270	0.150327		71760	0.00346493		
1350		28366	78245	1947.9		70240	0.0630547		71901	0.137703		71918	0.148153		74433	0.00353214		
1400		30816	81065	2668.55		72691	0.0750091		74564	0.147032		74561	0.173699		77464	0.00380799		
1450		27587	84305	1895.71		75785	0.0567603		77187	0.158205		77018	0.169639		80422	0.00406434		
1500		33016	86836	1902.22		77801	0.0820549		79895	0.169331		79941	0.201891		82761	0.00452311		
1550		0	0	8.1e-08		81337	0.0577026		82740	0.179807		82367	0.194083		86220	0.00466536		
1600		0	0	9.5e-08		82892	0.0911315		84583	0.191429		85341	0.206445		88350	0.00475947		
1650		0	0	1e-07		85996	0.0807473		87895	0.20384		87716	0.219686		91349	0.00524577		
1700		0	0	7.9e-08		88475	0.073483		89814	0.217988		90118	0.233679		93763	0.00564091		
1750		0	0	8.2e-08		91067	0.1024		93207	0.229202		92878	0.247275		97051	0.00626576		
1800		0	0	7.9e-08		93577	0.0883892		95003	0.242858		95803	0.261515		99475	0.00633737		
1850		0	0	8.6e-08		95627	0.0947092		97375	0.256151		97386	0.302307		101936	0.00761862		
1900		0	0	8.5e-08		98920	0.0978111		101198	0.270444		101190	0.319764		105270	0.00759072		
1950		0	0	8.2e-08		100794	0.10642		102558	0.285349		102585	0.335772		107366	0.0086551		
2000		0	0	8.5e-08		103917	0.109436		105508	0.299628		106411	0.322854		110574	0.00770983		
2050		0	0	9.6e-08		107083	0.0884049		108954	0.31482		108951	0.371035		113398	0.0077872		
2100		0	0	8e-08		109353	0.107411		111792	0.330301		111828	0.389106		116146	0.00872595		
2150		0	0	8.6e-08		111783	0.121165		114289	0.346649		114327	0.407988		118880	0.00887931		
2200		0	0	5.4e-08		114122	0.138769		115991	0.363054		116994	0.392107		121294	0.0100051		
2250		0	0	8e-08		116968	0.146919		119268	0.37991		119494	0.409285		124472	0.0105422		
2300		0	0	7.1e-08		119622	0.13323		121334	0.396602		121367	0.467047		126763	0.0108033		
2350		0	0	9e-08		122608	0.130808		124580	0.413693		124799	0.445873		130124	0.0110863		
2400		0	0	8.4e-08		125200	0.112335		126879	0.432327		126761	0.465123		132657	0.0106517		
2450		0	0	8e-08		128204	0.109829		130170	0.449881		130134	0.530752		135732	0.0109468		
2500		0	0	8.1e-08		130230	0.152276		131862	0.468382		131854	0.551921		137960	0.0139608		
2550		0	0	9.3e-08		132521	0.169737		135402	0.488245		135393	0.57402		140937	0.0120646		
2600		0	0	8.2e-08		135244	0.141004		137463	0.50662		137430	0.597112		143606	0.0134476		
2650		0	0	7.8e-08		137780	0.148947		139810	0.526319		139816	0.620549		146300	0.0153322		
2700		0	0	9.8e-08		141726	0.121453		142509	0.54676		142503	0.643908		149336	0.0171449		
2750		0	0	7.9e-08		142833	0.157077		144877	0.568014		144814	0.66767		151503	0.0176177		
2800		0	0	8.9e-08		146212	0.172966		149025	0.58776		148598	0.634292		155237	0.0150966		
2850		0	0	6.9e-08		147807	0.184999		150202	0.609563		150843	0.657181		157327	0.0163871		
2900		0	0	8.8e-08		151624	0.164169		153187	0.630945		153167	0.742142		160570	0.0157086		
2950		0	0	9e-08		153154	0.18479		155474	0.652824		156108	0.704288		162784	0.0161398		
3000		0	0	8.1e-08		156806	0.186955		159563	0.675698		158991	0.728803		166479	0.017368		
3050		0	0	7.7e-08		159007	0.192727		161386	0.698032		161548	0.752834		168727	0.0172841		
3100		0	0	8.5e-08		160372	0.212204		162603	0.72081		162529	0.849031		170226	0.0191455		
3150		0	0	1.01e-07		164455	0.19594		166794	0.744527		166859	0.8766		174666	0.0207247		
3200		0	0	8.2e-08		166114	0.23022		169101	0.768271		169110	0.905158		176797	0.0191077		
3250		0	0	8.2e-08		169356	0.221909		171801	0.791999		172165	0.855487		179493	0.0231164		
3300		0	0	1.2e-07		172127	0.192866		174430	0.817224		174406	0.961817		182514	0.0213706		
