n_4100.dat 302280	0.00378966		302816	4.54774		302269	0.84114		
n_4150.dat 306193	0.00387628		306739	4.71143		306082	0.861973		
n_4200.dat 309919	0.00336969		310474	4.56591		309908	0.883258		
n_4250.dat 313685	0.00346086		314088	4.52838		313576	0.903929		
n_4300.dat 317454	0.00350775		317961	4.96558		317438	0.926198		
n_4350.dat 321319	0.00357547		321830	4.83511		321303	0.947446		
n_4400.dat 324962	0.00373127		325514	5.01725		324946	0.968748		
n_4450.dat 328388	0.00384728		328909	5.19382		328374	0.992045		
n_4500.dat 332213	0.00377103		332742	5.32794		332197	1.01373		
n_4550.dat 336130	0.00366377		336617	5.50411		336114	1.03683		
n_4600.dat 339807	0.00446934		340344	5.65811		339791	1.05915		
n_4650.dat 343548	0.00447705		344093	5.66775		343533	1.0825		
n_4700.dat 347214	0.00487978		347798	6.2052		347198	1.10565		
n_4750.dat 350965	0.00430724		351503	5.89257		350949	1.13011		
n_4800.dat 354793	0.00543917		355431	6.29323		354777	1.15322		
n_4850.dat 358417	0.00512827		358918	6.58681		358401	1.17909		
n_4900.dat 361957	0.00435306		362655	6.48548		361941	1.20178		
n_4950.dat 365724	0.00503805		366330	6.31872		365708	1.22866		
n_5000.dat 369338	0.00437077		369866	6.8299		369322	1.25135		
