n35r2m2.txt 124	0.000229757		124	3.2546e-05		124	4.3067e-05		124	3.326e-05		124	2.1403e-05		124	9.1474e-05		124	3.4562e-05		
n35r2m3.txt 216	0.000295702		216	4.3484e-05		217	5.891e-05		216	3.5243e-05		216	2.7507e-05		216	0.00011835		216	4.5764e-05		
n35r2m4.txt 189	0.000478005		216	4.423e-05		187	6.2048e-05		186	2.6048e-05		220	2.1747e-05		216	0.000162176		216	4.6621e-05		
n35r3m2.txt 151	0.000353333		167	2.1792e-05		151	3.432e-05		151	2.5059e-05		167	1.3826e-05		168	9.0442e-05		167	2.4007e-05		
n35r3m3.txt 162	0.000457767		170	5.503e-05		170	8.0928e-05		164	2.7917e-05		170	1.8128e-05		170	0.000186293		169	3.3988e-05		
n35r3m4.txt 166	0.000605628		195	4.4448e-05		170	6.2488e-05		196	2.6949e-05		210	2.2406e-05		204	0.000170049		206	4.6356e-05		
n35r4m2.txt 136	0.000249985		146	1.6986e-05		136	2.6711e-05		136	1.8906e-05		146	1.0781e-05		148	7.3703e-05		146	1.8751e-05		
n35r4m3.txt 150	0.000512058		167	2.4661e-05		167	3.6867e-05		164	1.9984e-05		175	1.3644e-05		156	0.000114446		151	2.3751e-05		
n35r4m4.txt 189	0.000582556		224	3.3787e-05		204	4.6542e-05		252	1.9315e-05		204	1.6241e-05		227	0.000142951		217	3.491e-05		
n35r5m2.txt 135	0.000212041		143	1.5417e-05		135	2.4013e-05		135	4.8723e-05		144	2.0269e-05		145	8.6752e-05		143	1.6776e-05		
n35r5m3.txt 156	0.000392545		175	2.4599e-05		175	3.7044e-05		172	1.9709e-05		191	1.4189e-05		171	0.000114615		175	2.6452e-05		
n35r5m4.txt 192	0.000806023		224	3.2302e-05		208	4.38e-05		255	1.9172e-05		222	1.5423e-05		228	0.000128327		220	3.2906e-05		
n35r6m2.txt 134	0.000230777		146	1.5471e-05		146	2.4331e-05		134	1.8153e-05		150	9.89e-06		152	7.0521e-05		135	1.6668e-05		
n35r6m3.txt 174	0.000517921		189	2.3111e-05		189	3.4743e-05		187	2.0191e-05		195	1.3681e-05		196	0.000103429		182	2.5081e-05		
n35r6m4.txt 191	0.000470843		218	3.1995e-05		201	4.4148e-05		231	1.8776e-05		222	1.5494e-05		243	0.000139509		213	3.2984e-05		
n35r7m2.txt 135	0.000409331		140	1.692e-05		136	2.6114e-05		135	1.9758e-05		158	1.0689e-05		159	8.3039e-05		142	1.6789e-05		
n35r7m3.txt 174	0.000388863		181	2.3312e-05		181	3.4456e-05		184	1.9466e-05		200	1.3516e-05		194	9.9754e-05		183	2.4922e-05		
n35r7m4.txt 193	0.000397908		198	3.483e-05		202	4.8197e-05		248	2.3768e-05		234	1.6283e-05		234	0.000154283		209	3.3084e-05		
