order_n10.txt 456		67241	0.0162496	68017	0.00394157	1	405		68445	0.0165629	67529	0.0323411	1	366		69576	0.0176739	67541	0.0356412	1	356		67195	0.000492281	68239	0.00809686	1	431		69702	0.000275238	68093	0.0360971	1	383		68397	0.0461408	68921	0.0193616	1	305		68445	0.0161755	67506	0.0327835	1	365		
order_n11.txt 592		86724	0.00263883	88174	0.0340046	1	530		87051	0.0272079	87050	0.0585358	1	507		88216	0.0290334	87394	0.0636852	1	525		86637	0.000759814	89200	0.0248703	1	514		88722	0.000379124	87226	0.0599421	1	520		88292	0.0779679	88374	0.0422425	0	504		87051	0.0272514	87050	0.0583878	1	507		
order_n12.txt 760		108075	0.00970484	112694	0.0620402	0	675		116577	0.0455178	112637	0.0908723	0	558		112958	0.0480836	111254	0.0797133	0	602		107995	0.00114724	111660	0.0686145	0	675		118832	0.000468344	111025	0.0936019	0	666		117699	0.157751	116524	0.0707143	0	539		116577	0.0449538	112637	0.0910753	0	558		
order_n13.txt 568		84369	0.0114724	89461	0.0382468	0	491		90503	0.0253813	88658	0.0487991	0	477		86236	0.0267482	89691	0.0531092	0	489		83599	0.000810848	91177	0.0287907	0	491		91355	0.000348064	87856	0.0543754	0	462		91652	0.0791639	89880	0.0204427	0	390		90503	0.0250378	89089	0.0482255	0	480		
order_n14.txt 1072		147799	0.0210811	154311	0.0799274	0	965		155970	0.0899365	153651	0.201819	1	853		155317	0.0947671	153576	0.177339	0	809		146890	0.00250692	154398	0.0546535	0	973		164774	0.000694874	154087	0.186675	0	915		159924	0.303732	160614	0.0820292	1	617		155970	0.0892275	153957	0.19861	1	838		
order_n15.txt 1160		144433	0.0244015	155922	0.140914	0	1041		154342	0.10496	150479	0.218566	0	878		159356	0.111514	152248	0.259809	0	913		143647	0.0026232	155059	0.074348	0	1047		161764	0.000743444	151539	0.256436	0	987		160192	0.34468	161396	0.198589	1	1092		154342	0.103947	150479	0.219382	0	878		
order_n16.txt 1800		266314	0.0423531	277946	0.241453	0	1658		286076	0.251677	272775	0.585496	0	1420		270229	0.265628	272856	0.524335	0	1385		264753	0.0065014	282680	0.319591	0	1641		290945	0.00118832	275598	0.584658	0	1483		291276	0.887222	290815	0.24866	0	1206		286076	0.250894	272741	0.583395	0	1400		
order_n17.txt 1456		189184	0.0359922	199695	0.314458	0	1290		201347	0.165191	196037	0.411441	0	1313		199899	0.174617	195943	0.41712	0	1229		187917	0.00477105	200501	0.297042	0	1338		206604	0.000958985	196557	0.410236	0	1228		197283	0.46336	200245	0.389165	0	1155		201347	0.164954	196037	0.41305	0	1313		
order_n18.txt 1816		223346	0.0333544	226379	0.048715	1	1685		241091	0.26533	230530	0.671497	1	1422		230310	0.276104	227990	0.558413	1	1353		222282	0.00607704	223974	0.020305	1	1643		243351	0.00122232	227736	0.627048	1	1394		237039	0.883639	237082	0.0474303	1	440		241091	0.254784	230530	0.655748	1	1422		
order_n19.txt 1872		234740	0.039429	238926	0.468425	0	1729		243993	0.271136	239566	0.543529	0	1389		238957	0.289002	239506	0.629492	0	1359		234272	0.00637456	237657	0.520379	0	1663		259407	0.00120743	238757	0.618864	0	1521		246031	0.827019	242215	0.477279	0	1104		243993	0.270664	239566	0.542093	0	1389		
order_n20.txt 1992		273222	0.0338645	282741	0.255914	1	1872		282431	0.307522	275837	0.835697	1	1696		281109	0.328533	274368	0.903222	1	1795		273054	0.00938991	281052	0.154964	1	1917		293631	0.00137664	275434	0.778816	1	1760		282614	1.00308	284831	0.55829	1	1229		282407	0.307374	276381	0.839524	1	1700		
order_n21.txt 2376		327786	0.0789893	346891	0.797716	0	2209		353694	0.436638	341173	1.04055	0	1878		356584	0.465349	341790	0.98075	0	1848		324451	0.0115992	344708	0.684687	0	2206		378700	0.00162409	340288	1.1734	0	1996		350569	1.478	352325	0.831039	0	2154		353694	0.436417	339563	1.02528	0	1858		
order_n22.txt 2328		317803	0.0456462	321936	0.146799	1	2152		328095	0.420841	321251	1.08408	1	1902		327185	0.444655	321823	1.08415	1	1981		316758	0.0105285	318914	0.105623	1	2137		336842	0.00161027	321040	1.0415	1	1870		335995	1.42498	336651	0.347573	1	2263		327591	0.419661	321214	1.02172	1	1827		
