../../instances/bininstances/orders_reparsed/orderpool_1014_parsed.txt   3.7278004808e+03 (gap = 9051.61, 70.83%)
  3.7278004808e+03 (gap = 9051.61, 70.83%)
../../instances/bininstances/orders_reparsed/orderpool_1016_parsed.txt   4.4026433196e+03 (gap = 8111.83, 64.82%)
  4.4026433196e+03 (gap = 8111.83, 64.82%)
../../instances/bininstances/orders_reparsed/orderpool_1017_parsed.txt   4.0613985867e+03 (gap = 8855.33, 68.56%)
  4.0613985867e+03 (gap = 8855.33, 68.56%)
../../instances/bininstances/orders_reparsed/orderpool_1018_parsed.txt   4.0613985867e+03 (gap = 8855.33, 68.56%)
  4.0613985867e+03 (gap = 8855.33, 68.56%)
../../instances/bininstances/orders_reparsed/orderpool_1019_parsed.txt   3.7315760918e+03 (gap = 7873.39, 67.85%)
  3.7315760918e+03 (gap = 7873.39, 67.85%)
../../instances/bininstances/orders_reparsed/orderpool_1024_parsed.txt   2.7218856335e+03 (gap = 5305.02, 66.09%)
  2.7218856335e+03 (gap = 5305.02, 66.09%)
../../instances/bininstances/orders_reparsed/orderpool_1026_parsed.txt   2.7232935860e+03 (gap = 4598.45, 62.81%)
  2.7232935860e+03 (gap = 4598.45, 62.81%)
../../instances/bininstances/orders_reparsed/orderpool_1027_parsed.txt   1.9236614409e+03 (gap = 4479.73, 69.96%)
  1.9236614409e+03 (gap = 4479.73, 69.96%)
../../instances/bininstances/orders_reparsed/orderpool_1028_parsed.txt   3.9803507159e+03 (gap = 5269.69, 56.97%)
  3.9803507159e+03 (gap = 5269.69, 56.97%)
../../instances/bininstances/orders_reparsed/orderpool_1029_parsed.txt   2.0303636353e+03 (gap = 6251.27, 75.48%)
  2.0303636353e+03 (gap = 6251.27, 75.48%)
../../instances/bininstances/orders_reparsed/orderpool_1030_parsed.txt   4.1985622496e+03 (gap = 3619.81, 46.30%)
  4.1985622496e+03 (gap = 3619.81, 46.30%)
../../instances/bininstances/orders_reparsed/orderpool_1031_parsed.txt   2.0954452387e+03 (gap = 3343.36, 61.47%)
  2.0954452387e+03 (gap = 3343.36, 61.47%)
../../instances/bininstances/orders_reparsed/orderpool_1032_parsed.txt   3.8258683944e+03 (gap = 3408.64, 47.12%)
  3.8258683944e+03 (gap = 3408.64, 47.12%)
../../instances/bininstances/orders_reparsed/orderpool_1102_parsed.txt   3.4848795631e+03 (gap = 3433.85, 49.63%)
  3.4848795631e+03 (gap = 3433.85, 49.63%)
../../instances/bininstances/orders_reparsed/orderpool_1103_parsed.txt   2.3993061187e+03 (gap = 3325.07, 58.09%)
  2.3993061187e+03 (gap = 3325.07, 58.09%)
../../instances/bininstances/orders_reparsed/orderpool_1104_parsed.txt   3.1944536632e+03 (gap = 4515.95, 58.57%)
  3.1944536632e+03 (gap = 4515.95, 58.57%)
../../instances/bininstances/orders_reparsed/orderpool_1106_parsed.txt   3.3683393052e+03 (gap = 3604.93, 51.70%)
  3.3683393052e+03 (gap = 3604.93, 51.70%)
../../instances/bininstances/orders_reparsed/orderpool_1107_parsed.txt   2.5534850670e+03 (gap = 3624.09, 58.67%)
  2.5534850670e+03 (gap = 3624.09, 58.67%)
../../instances/bininstances/rand_orders/order_n10.txt   6.8571000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n11.txt   8.7239000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n12.txt   8.7239000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n13.txt   9.0611000000e+02 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n14.txt   1.5868600000e+03 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n15.txt   1.6080284076e+03 (gap = 0.0815924, 0.01%)
  1.6080284076e+03 (gap = 0.0815924, 0.01%)
../../instances/bininstances/rand_orders/order_n16.txt   2.7917100000e+03 (gap = 0, 0.00%)
../../instances/bininstances/rand_orders/order_n17.txt   2.0337500000e+03 (gap = 0.11, 0.01%)
  2.0337500000e+03 (gap = 0.11, 0.01%)
../../instances/bininstances/rand_orders/order_n18.txt   2.3579846154e+03 (gap = 0.205385, 0.01%)
  2.3579846154e+03 (gap = 0.205385, 0.01%)
../../instances/bininstances/rand_orders/order_n19.txt   2.3579846154e+03 (gap = 0.205385, 0.01%)
  2.3579846154e+03 (gap = 0.205385, 0.01%)
../../instances/bininstances/rand_orders/order_n20.txt   2.8448500000e+03 (gap = 0.26, 0.01%)
  2.8448500000e+03 (gap = 0.26, 0.01%)
../../instances/bininstances/rand_orders/order_n21.txt   2.8448500000e+03 (gap = 0.26, 0.01%)
  2.8448500000e+03 (gap = 0.26, 0.01%)
../../instances/bininstances/rand_orders/order_n22.txt   3.1843428261e+03 (gap = 0.307174, 0.01%)
  3.1843428261e+03 (gap = 0.307174, 0.01%)
../../instances/bininstances/rand_orders/order_n23.txt   3.7963320116e+03 (gap = 0.377988, 0.01%)
  3.7963320116e+03 (gap = 0.377988, 0.01%)
../../instances/bininstances/rand_orders/order_n24.txt   4.2587313355e+03 (gap = 184.019, 4.14%)
  4.2587313355e+03 (gap = 184.019, 4.14%)
../../instances/bininstances/rand_orders/order_n25.txt   4.4095711467e+03 (gap = 459.199, 9.43%)
  4.4095711467e+03 (gap = 459.199, 9.43%)
../../instances/bininstances/rand_orders/order_n26.txt   3.6401656851e+03 (gap = 690.714, 15.95%)
  3.6401656851e+03 (gap = 690.714, 15.95%)
../../instances/bininstances/rand_orders/order_n27.txt   3.2006218553e+03 (gap = 1894.47, 37.18%)
  3.2006218553e+03 (gap = 1894.47, 37.18%)
../../instances/bininstances/rand_orders/order_n28.txt   4.2579288288e+03 (gap = 1433.36, 25.19%)
  4.2579288288e+03 (gap = 1433.36, 25.19%)
../../instances/bininstances/rand_orders/order_n29.txt   2.5719967346e+03 (gap = 4189.35, 61.96%)
  2.5719967346e+03 (gap = 4189.35, 61.96%)
../../instances/bininstances/rand_orders/order_n30.txt   3.3279888523e+03 (gap = 952.361, 22.25%)
  3.3279888523e+03 (gap = 952.361, 22.25%)
../../instances/bininstances/rand_orders/order_n31.txt   1.4771309767e+03 (gap = 4743.13, 76.25%)
  1.4771309767e+03 (gap = 4743.13, 76.25%)
../../instances/bininstances/rand_orders/order_n32.txt   1.7934664921e+03 (gap = 6186.58, 77.53%)
  1.7934664921e+03 (gap = 6186.58, 77.53%)
../../instances/bininstances/rand_orders/order_n33.txt   1.8964658191e+03 (gap = 4100.64, 68.38%)
  1.8964658191e+03 (gap = 4100.64, 68.38%)
../../instances/bininstances/rand_orders/order_n34.txt   2.0024080283e+03 (gap = 5750.33, 74.17%)
  2.0024080283e+03 (gap = 5750.33, 74.17%)
../../instances/bininstances/rand_orders/order_n35.txt   9.1715268378e+02 (gap = 7183.38, 88.68%)
  9.1715268378e+02 (gap = 7183.38, 88.68%)
../../instances/bininstances/rand_orders/order_n36.txt   1.4296645195e+03 (gap = 6965.83, 82.97%)
  1.4296645195e+03 (gap = 6965.83, 82.97%)
../../instances/bininstances/rand_orders/order_n37.txt   5.8743656107e+02 (gap = 8390.6, 93.46%)
  5.8743656107e+02 (gap = 8390.6, 93.46%)
../../instances/bininstances/rand_orders/order_n38.txt   1.5056986851e+01 (gap = 10948.3, 99.86%)
  1.5056986851e+01 (gap = 10948.3, 99.86%)
../../instances/bininstances/rand_orders/order_n39.txt   3.1987577640e-15 (gap = 8722.87, 100.00%)
  3.1987577640e-15 (gap = 8722.87, 100.00%)
../../instances/bininstances/rand_orders/order_n40.txt   5.7269657714e+02 (gap = 9426.13, 94.27%)
  5.7269657714e+02 (gap = 9426.13, 94.27%)
