  4.5584902059e+03 (gap = 7677.76, 62.75%)
../../instances/bininstances/orders_reparsed/orderpool_1014_parsed.txt   2.3473597707e+03 (gap = 10710.5, 82.02%)
  2.3473597707e+03 (gap = 10710.5, 82.02%)
../../instances/bininstances/orders_reparsed/orderpool_1016_parsed.txt   3.8836747233e+03 (gap = 8465.1, 68.55%)
  3.8836747233e+03 (gap = 8465.1, 68.55%)
../../instances/bininstances/orders_reparsed/orderpool_1017_parsed.txt   2.8574275983e+03 (gap = 9925.15, 77.65%)
  2.8574275983e+03 (gap = 9925.15, 77.65%)
../../instances/bininstances/orders_reparsed/orderpool_1018_parsed.txt   4.0189485560e+03 (gap = 7531.37, 65.20%)
  4.0189485560e+03 (gap = 7531.37, 65.20%)
../../instances/bininstances/orders_reparsed/orderpool_1019_parsed.txt   3.7556926273e+03 (gap = 8027.73, 68.13%)
  3.7556926273e+03 (gap = 8027.73, 68.13%)
../../instances/bininstances/orders_reparsed/orderpool_1024_parsed.txt   3.7759161325e+03 (gap = 4664.41, 55.26%)
  3.7759161325e+03 (gap = 4664.41, 55.26%)
../../instances/bininstances/orders_reparsed/orderpool_1026_parsed.txt   2.9890636499e+03 (gap = 4592.11, 60.57%)
  2.9890636499e+03 (gap = 4592.11, 60.57%)
../../instances/bininstances/orders_reparsed/orderpool_1027_parsed.txt   1.9063964124e+03 (gap = 4932.28, 72.12%)
  1.9063964124e+03 (gap = 4932.28, 72.12%)
../../instances/bininstances/orders_reparsed/orderpool_1028_parsed.txt   4.1180554238e+03 (gap = 5316.8, 56.35%)
  4.1180554238e+03 (gap = 5316.8, 56.35%)
../../instances/bininstances/orders_reparsed/orderpool_1029_parsed.txt   2.4004550934e+03 (gap = 6082.75, 71.70%)
  2.4004550934e+03 (gap = 6082.75, 71.70%)
../../instances/bininstances/orders_reparsed/orderpool_1030_parsed.txt   3.9196400000e+03 (gap = 3698.74, 48.55%)
  3.9196400000e+03 (gap = 3698.74, 48.55%)
../../instances/bininstances/orders_reparsed/orderpool_1031_parsed.txt   2.1349001319e+03 (gap = 3432.88, 61.66%)
  2.1349001319e+03 (gap = 3432.88, 61.66%)
