  3.1813819628e+03 (gap = 9721.77, 75.34%)
../../instances/bininstances/orders_reparsed/orderpool_1016_parsed.txt   4.6230263306e+03 (gap = 7700.62, 62.49%)
  4.6230263306e+03 (gap = 7700.62, 62.49%)
../../instances/bininstances/orders_reparsed/orderpool_1017_parsed.txt   3.0185139373e+03 (gap = 9731.04, 76.32%)
  3.0185139373e+03 (gap = 9731.04, 76.32%)
../../instances/bininstances/orders_reparsed/orderpool_1018_parsed.txt   3.1981515922e+03 (gap = 8267.68, 72.11%)
  3.1981515922e+03 (gap = 8267.68, 72.11%)
../../instances/bininstances/orders_reparsed/orderpool_1019_parsed.txt   4.4137496833e+03 (gap = 7570.91, 63.17%)
  4.4137496833e+03 (gap = 7570.91, 63.17%)
../../instances/bininstances/orders_reparsed/orderpool_1024_parsed.txt   2.6764425633e+03 (gap = 5503.63, 67.28%)
  2.6764425633e+03 (gap = 5503.63, 67.28%)
../../instances/bininstances/orders_reparsed/orderpool_1026_parsed.txt   2.4040724865e+03 (gap = 5034.24, 67.68%)
  2.4040724865e+03 (gap = 5034.24, 67.68%)
../../instances/bininstances/orders_reparsed/orderpool_1027_parsed.txt   2.0308140164e+03 (gap = 4827.85, 70.39%)
  2.0308140164e+03 (gap = 4827.85, 70.39%)
../../instances/bininstances/orders_reparsed/orderpool_1028_parsed.txt   3.8327857237e+03 (gap = 5314.61, 58.10%)
  3.8327857237e+03 (gap = 5314.61, 58.10%)
../../instances/bininstances/orders_reparsed/orderpool_1029_parsed.txt   2.4043477869e+03 (gap = 6145.93, 71.88%)
  2.4043477869e+03 (gap = 6145.93, 71.88%)
../../instances/bininstances/orders_reparsed/orderpool_1030_parsed.txt   3.4782480990e+03 (gap = 4170.86, 54.53%)
  3.4782480990e+03 (gap = 4170.86, 54.53%)
../../instances/bininstances/orders_reparsed/orderpool_1031_parsed.txt   2.5511156695e+03 (gap = 2830.54, 52.60%)
  2.5511156695e+03 (gap = 2830.54, 52.60%)
../../instances/bininstances/orders_reparsed/orderpool_1032_parsed.txt   3.4532172530e+03 (gap = 3789.9, 52.32%)
